,cities,iter,epoch,cost,model_name
0,,50,,2,6.597730704129316,MultilayerTransformerBlockModel
0,,50,,2,6.373297037204872,MultilayerTransformerBlockModel
0,,50,,2,6.696733590713224,MultilayerTransformerBlockModel
0,,50,,2,7.195954477245602,MultilayerTransformerBlockModel
0,,50,,2,6.9920169442143,MultilayerTransformerBlockModel
0,,50,,2,7.5987610200874895,MultilayerTransformerBlockModel
0,,50,,2,6.4533537280631545,MultilayerTransformerBlockModel
0,,50,,2,7.209193651779282,MultilayerTransformerBlockModel
0,,50,,2,7.799677415185931,MultilayerTransformerBlockModel
0,,50,,2,6.185961030960227,MultilayerTransformerBlockModel
0,,50,,2,6.476752843553552,MultilayerTransformerBlockModel
0,,50,,2,6.011241696846657,MultilayerTransformerBlockModel
0,,50,,2,6.809262028675781,MultilayerTransformerBlockModel
0,,50,,2,6.17458651119127,MultilayerTransformerBlockModel
0,,50,,2,6.998319647362626,MultilayerTransformerBlockModel
0,,50,,2,6.404969467765115,MultilayerTransformerBlockModel
0,,50,,2,6.42202577000799,MultilayerTransformerBlockModel
0,,50,,2,6.821493998166596,MultilayerTransformerBlockModel
0,,50,,2,6.960596061563647,MultilayerTransformerBlockModel
0,,50,,2,6.988870534256566,MultilayerTransformerBlockModel
0,,50,,2,6.421168901675223,MultilayerTransformerBlockModel
0,,50,,2,6.131139227589866,MultilayerTransformerBlockModel
0,,50,,2,6.929491029966441,MultilayerTransformerBlockModel
0,,50,,2,6.44954732920871,MultilayerTransformerBlockModel
0,,50,,2,6.4619494553406875,MultilayerTransformerBlockModel
0,,50,,2,7.202587251563061,MultilayerTransformerBlockModel
0,,50,,2,6.927556453789607,MultilayerTransformerBlockModel
0,,50,,2,7.018988397684704,MultilayerTransformerBlockModel
0,,50,,2,7.134797709569723,MultilayerTransformerBlockModel
0,,50,,2,6.664024547766793,MultilayerTransformerBlockModel
0,,50,,2,7.375714491721324,MultilayerTransformerBlockModel
0,,50,,2,7.077599510484716,MultilayerTransformerBlockModel
0,,50,,2,7.062525434954272,MultilayerTransformerBlockModel
0,,50,,2,6.736502089163503,MultilayerTransformerBlockModel
0,,50,,2,6.218779445437076,MultilayerTransformerBlockModel
0,,50,,2,6.712197568906611,MultilayerTransformerBlockModel
0,,50,,2,6.222389216704051,MultilayerTransformerBlockModel
0,,50,,2,7.125298884918814,MultilayerTransformerBlockModel
0,,50,,2,7.071934951358204,MultilayerTransformerBlockModel
0,,50,,2,6.417071573575099,MultilayerTransformerBlockModel
0,,50,,2,6.679659996638194,MultilayerTransformerBlockModel
0,,50,,2,7.3110022674663036,MultilayerTransformerBlockModel
0,,50,,2,6.6593643399898435,MultilayerTransformerBlockModel
0,,50,,2,6.94054139590139,MultilayerTransformerBlockModel
0,,50,,2,6.960091073324432,MultilayerTransformerBlockModel
0,,50,,2,5.95388243335771,MultilayerTransformerBlockModel
0,,50,,2,6.446514058650596,MultilayerTransformerBlockModel
0,,50,,2,6.571826168259238,MultilayerTransformerBlockModel
0,,50,,3,6.5900660071238395,MultilayerTransformerBlockModel
0,,50,,3,7.3247584811221556,MultilayerTransformerBlockModel
0,,50,,3,7.170088759956254,MultilayerTransformerBlockModel
0,,50,,3,6.2936774055089595,MultilayerTransformerBlockModel
0,,50,,3,7.518528551015035,MultilayerTransformerBlockModel
0,,50,,3,6.705362133835452,MultilayerTransformerBlockModel
0,,50,,3,5.995451842395646,MultilayerTransformerBlockModel
0,,50,,3,6.534462795062331,MultilayerTransformerBlockModel
0,,50,,3,6.955692448515458,MultilayerTransformerBlockModel
0,,50,,3,6.920184601653122,MultilayerTransformerBlockModel
0,,50,,3,6.929186610641551,MultilayerTransformerBlockModel
0,,50,,3,7.658500055772027,MultilayerTransformerBlockModel
0,,50,,3,6.472792231531457,MultilayerTransformerBlockModel
0,,50,,3,6.564507458253676,MultilayerTransformerBlockModel
0,,50,,3,6.324982267430506,MultilayerTransformerBlockModel
0,,50,,3,6.613616714925631,MultilayerTransformerBlockModel
0,,50,,3,6.5353988320490375,MultilayerTransformerBlockModel
0,,50,,3,6.027143234206742,MultilayerTransformerBlockModel
0,,50,,3,6.8222299178309935,MultilayerTransformerBlockModel
0,,50,,3,6.402374990090315,MultilayerTransformerBlockModel
0,,50,,3,5.914153683655235,MultilayerTransformerBlockModel
0,,50,,3,6.9594376676546315,MultilayerTransformerBlockModel
0,,50,,3,6.2378918590669725,MultilayerTransformerBlockModel
0,,50,,3,6.574750977482548,MultilayerTransformerBlockModel
0,,50,,3,7.395485618310665,MultilayerTransformerBlockModel
0,,50,,3,7.1807626285074635,MultilayerTransformerBlockModel
0,,50,,3,7.602303404626989,MultilayerTransformerBlockModel
0,,50,,3,6.332138024786048,MultilayerTransformerBlockModel
0,,50,,3,6.618566275964682,MultilayerTransformerBlockModel
0,,50,,3,6.7139662906577495,MultilayerTransformerBlockModel
0,,50,,3,6.729369116010207,MultilayerTransformerBlockModel
0,,50,,3,6.214114983581128,MultilayerTransformerBlockModel
0,,50,,3,6.96804439514897,MultilayerTransformerBlockModel
0,,50,,3,6.008034750334692,MultilayerTransformerBlockModel
0,,50,,3,6.1929909946224075,MultilayerTransformerBlockModel
0,,50,,3,6.234018093569194,MultilayerTransformerBlockModel
0,,50,,3,7.299419692796795,MultilayerTransformerBlockModel
0,,50,,3,7.2425056362360065,MultilayerTransformerBlockModel
0,,50,,3,6.879952376187726,MultilayerTransformerBlockModel
0,,50,,3,6.700945188855621,MultilayerTransformerBlockModel
0,,50,,3,6.633042819904183,MultilayerTransformerBlockModel
0,,50,,3,6.3932996065185455,MultilayerTransformerBlockModel
0,,50,,3,6.517851673909393,MultilayerTransformerBlockModel
0,,50,,3,6.300983985108741,MultilayerTransformerBlockModel
0,,50,,3,7.083611639381182,MultilayerTransformerBlockModel
0,,50,,3,6.503754683936046,MultilayerTransformerBlockModel
0,,50,,3,6.985754705652807,MultilayerTransformerBlockModel
0,,50,,3,6.392447082686474,MultilayerTransformerBlockModel
0,,50,,3,6.66474646713677,MultilayerTransformerBlockModel
0,,50,,3,6.084608335076577,MultilayerTransformerBlockModel
0,,50,,4,6.777495444419324,MultilayerTransformerBlockModel
0,,50,,4,6.927542400972406,MultilayerTransformerBlockModel
0,,50,,4,6.201093959475884,MultilayerTransformerBlockModel
0,,50,,4,6.218362576708483,MultilayerTransformerBlockModel
0,,50,,4,7.0898097594868235,MultilayerTransformerBlockModel
0,,50,,4,6.829224806060453,MultilayerTransformerBlockModel
0,,50,,4,6.53367519274965,MultilayerTransformerBlockModel
0,,50,,4,6.605416064690832,MultilayerTransformerBlockModel
0,,50,,4,6.346232496572329,MultilayerTransformerBlockModel
0,,50,,4,6.790469227183136,MultilayerTransformerBlockModel
0,,50,,4,6.556242805496962,MultilayerTransformerBlockModel
0,,50,,4,6.094576324418207,MultilayerTransformerBlockModel
0,,50,,4,6.347000727637421,MultilayerTransformerBlockModel
0,,50,,4,6.326260007525888,MultilayerTransformerBlockModel
0,,50,,4,7.34174492995759,MultilayerTransformerBlockModel
0,,50,,4,7.033486678011201,MultilayerTransformerBlockModel
0,,50,,4,6.999192058028368,MultilayerTransformerBlockModel
0,,50,,4,6.667676077598489,MultilayerTransformerBlockModel
0,,50,,4,6.40271075597199,MultilayerTransformerBlockModel
0,,50,,4,6.177286288281339,MultilayerTransformerBlockModel
0,,50,,4,6.214017426815388,MultilayerTransformerBlockModel
0,,50,,4,5.899748850827224,MultilayerTransformerBlockModel
0,,50,,4,6.753169811656538,MultilayerTransformerBlockModel
0,,50,,4,7.171331335392502,MultilayerTransformerBlockModel
0,,50,,4,7.007611592812545,MultilayerTransformerBlockModel
0,,50,,4,6.7069790740161945,MultilayerTransformerBlockModel
0,,50,,4,6.734777609958525,MultilayerTransformerBlockModel
0,,50,,4,6.4159311302885325,MultilayerTransformerBlockModel
