,model_name,fold,epoch,tr_loss,tr_acc,val_loss,val_acc
0,BaseModel,1,1,1.50074144993888,58.233333333333334,0.6220948138236999,82.15
1,BaseModel,1,2,0.6538225943777296,78.91111111111111,0.5605467925071717,82.75
2,BaseModel,1,3,0.5965896591610379,80.71111111111111,0.541873753786087,82.85
3,BaseModel,1,4,0.5829496193461948,81.01666666666667,0.5395067837238312,83.2
4,BaseModel,1,5,0.575666044500139,81.35555555555555,0.5364059886932373,83.05
5,BaseModel,1,6,0.5711106281810336,81.47222222222223,0.5352597477436065,83.3
6,BaseModel,1,7,0.5639449084069994,81.75,0.5223139660358429,83.9
7,BaseModel,1,8,0.563565256966485,81.28333333333333,0.5163021669387817,84.1
8,BaseModel,1,9,0.550209477159712,82.13333333333334,0.507691641330719,84.0
9,BaseModel,1,10,0.5534917457368639,81.82222222222222,0.5100493462085723,83.9
10,BaseModel,2,1,1.5635537276268006,57.327777777777776,0.6112451891899109,81.4
11,BaseModel,2,2,0.6333976082801819,79.95,0.5692347888946533,82.1
12,BaseModel,2,3,0.5904382120768229,80.85,0.558334774017334,81.75
13,BaseModel,2,4,0.5784606761402554,81.31111111111112,0.5481402549743652,82.15
14,BaseModel,2,5,0.5740090252558391,81.36666666666666,0.5468460326194763,82.85
15,BaseModel,2,6,0.5715077972412109,81.36666666666666,0.5552550296783447,82.4
16,BaseModel,2,7,0.556650442176395,82.02777777777777,0.53911456823349,82.9
17,BaseModel,2,8,0.5500737749735515,82.00555555555556,0.5346276068687439,82.8
18,BaseModel,2,9,0.548730996131897,82.42777777777778,0.5353043746948242,82.95
19,BaseModel,2,10,0.5452905468940735,82.10555555555555,0.5437034792900085,82.9
20,BaseModel,3,1,1.4769774282773336,59.87777777777778,0.5892228412628174,83.15
21,BaseModel,3,2,0.6157140618430244,79.89444444444445,0.5545866818428039,84.0
22,BaseModel,3,3,0.5921798315048218,80.7388888888889,0.5503430862426758,84.2
23,BaseModel,3,4,0.5812799844212002,81.07777777777778,0.5427620673179626,84.5
24,BaseModel,3,5,0.570584811952379,81.13888888888889,0.5373599328994751,84.4
25,BaseModel,3,6,0.5629546904034085,81.55555555555556,0.5284875059127807,84.55
26,BaseModel,3,7,0.5555246210098267,81.57777777777778,0.5180298295021057,84.7
27,BaseModel,3,8,0.5562543876965841,81.57222222222222,0.5361439714431763,84.35
28,BaseModel,3,9,0.5564615264468723,81.67222222222222,0.5183339412212372,84.45
29,BaseModel,3,10,0.5606869224442376,81.67777777777778,0.5124488403797149,84.2
30,BaseModel,4,1,1.4144019015630087,60.43888888888889,0.6103018770217895,82.35
31,BaseModel,4,2,0.6265588502883911,79.77777777777777,0.5998359670639039,82.7
32,BaseModel,4,3,0.6043285455173917,80.3,0.569782015800476,82.75
33,BaseModel,4,4,0.5923492475880517,80.81666666666666,0.5687034463882447,82.75
34,BaseModel,4,5,0.5796715242862701,80.76666666666667,0.5649132995605469,83.1
35,BaseModel,4,6,0.5759800996515486,81.23333333333333,0.5624113779067993,83.3
36,BaseModel,4,7,0.5706765851974487,81.48333333333333,0.5595115141868592,83.35
37,BaseModel,4,8,0.5642267026901245,81.18333333333334,0.5628101620674133,83.1
38,BaseModel,4,9,0.5582936886681451,81.60555555555555,0.5481762113571167,83.2
39,BaseModel,4,10,0.55743797132704,81.67777777777778,0.5450275630950928,83.55
40,BaseModel,5,1,1.513787477016449,59.483333333333334,0.60836585855484,83.2
41,BaseModel,5,2,0.6303134146796332,79.47777777777777,0.5457535891532898,84.25
42,BaseModel,5,3,0.5845902964274089,80.96666666666667,0.5376130542755126,83.7
43,BaseModel,5,4,0.5720956263012357,81.2388888888889,0.5313184270858765,84.05
44,BaseModel,5,5,0.5682875175476074,81.61666666666666,0.5399359831809998,83.65
45,BaseModel,5,6,0.5636049813164605,81.83333333333333,0.5311387534141541,83.75
46,BaseModel,5,7,0.5688267283969455,81.67222222222222,0.5280483465194702,83.85
47,BaseModel,5,8,0.5547498865127564,81.85555555555555,0.5218465452194214,84.15
48,BaseModel,5,9,0.5526690411037869,81.9888888888889,0.5202539677619934,84.45
49,BaseModel,5,10,0.5493513340420193,82.03888888888889,0.5181252264976501,84.25
50,BaseModel,6,1,1.4875794185002644,58.66111111111111,0.6148235340118409,81.05
51,BaseModel,6,2,0.6098398742675781,80.23333333333333,0.5668547658920288,81.6
52,BaseModel,6,3,0.5911716963715024,80.80555555555556,0.5610674300193786,82.0
53,BaseModel,6,4,0.5831044235759312,80.83888888888889,0.5458706293106079,82.1
54,BaseModel,6,5,0.5749453824890984,81.41111111111111,0.5412590885162354,82.2
55,BaseModel,6,6,0.5684602768950993,81.27222222222223,0.5306199336051941,82.75
56,BaseModel,6,7,0.5679968681335449,81.58333333333333,0.5331294174194336,82.6
57,BaseModel,6,8,0.5667411971622043,81.51666666666667,0.5233875842094421,82.85
58,BaseModel,6,9,0.5558707327312893,81.7388888888889,0.5257448086738586,82.45
59,BaseModel,6,10,0.5548492334153917,81.81666666666666,0.5174070281982421,82.85
60,BaseModel,7,1,1.4753193786409167,59.138888888888886,0.5930782294273377,82.1
61,BaseModel,7,2,0.6251604957580567,79.38333333333334,0.551771436214447,83.15
62,BaseModel,7,3,0.593116425037384,80.82777777777778,0.5373468952178955,82.9
63,BaseModel,7,4,0.5821601671642728,81.4,0.5694493427276611,82.9
64,BaseModel,7,5,0.5833173945744833,80.90555555555555,0.5625259647369385,82.8
65,BaseModel,7,6,0.5739752784305149,81.28333333333333,0.5432826805114747,83.4
